Rank,Released,Movies,worldwide box office $,domestic box office $,international box office $
225,2014,Dracula Untold,220241723,55991880,164249843
226,2011,Green Lantern,219535492,116601172,102934320
227,2005,Kingdom of Heaven,218674938,47398413,171276525
228,2004,Collateral,217602967,100170152,117432815
229,2013,Hansel & Gretel: Witch Hunters,214949716,55703475,159246241
230,2000,"Crouching Tiger, Hidden Dragon",213964810,128517946,85446864
231,2011,Battle: Los Angeles,213463976,83552429,129911547
232,1999,End of Days,212026975,66889043,145137932
233,2012,Total Recall,211856088,58877969,152978119
234,2011,Immortals,211562435,83504017,128058418
235,2021,Nou fo,211227284,385305,210841979
236,1979,Moonraker,210300000,70300000,140000000
237,2014,The Expendables 3,209461378,39322544,170138834
238,1994,Clear and Present Danger,207500000,122012656,85487344
239,2003,S.W.A.T.,207154748,116877597,90277151
240,2001,The Fast and the Furious,206458372,144512310,61946062
241,2020,Chai Dan Zhuan Jia Er,203481407,0,203481407
242,2020,Birds of Prey (And the Fantabulous Emancipation…,201005552,84158461,116847091
243,1979,Rocky 2,200182160,85182160,115000000
244,2021,Chinese Doctors,196863514,0,196863514
245,2010,Red,196439693,90380162,106059531
246,2021,Gekijouban Jujutsu Kaisen 0,196290952,33919605,162371347
247,1981,For Your Eyes Only,195300000,54800000,140500000
248,2014,Need for Speed,194169619,43568507,150601112
249,2016,Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing,194058503,709982,193348521
250,2002,The Sum of All Fears,193500000,118471320,75028680
251,2014,The Equalizer,192903624,101530738,91372886
252,2019,Yip Man 4,192617891,3956031,188661860
253,1987,The Living Daylights,191199996,51185000,140014996
254,2018,The Equalizer 2,190376181,102084362,88291819
255,1998,The X Files: Fight the Future,189176423,83898313,105278110
256,1988,Rambo III,188715611,53715611,135000000
257,1983,Octopussy,187500000,67900000,119600000
258,2009,Watchmen,186976250,107509799,79466451
259,2019,The White Storm 2: Drug Lords,185427900,0,185427900
260,1977,The Spy Who Loved Me,185400000,46800000,138600000
261,2017,The Hitman’s Bodyguard,183415183,75468583,107946600
262,1986,Aliens,183291893,85160248,98131645
263,2003,Daredevil,182782518,102543518,80239000
264,2015,Jupiter Ascending,181982519,47482519,134500000
265,1992,Patriot Games,178100000,83287363,94812637
266,1999,Double Jeopardy,177835231,116735231,61100000
267,2002,Jet Li's Hero,177535958,53652140,123883818
268,2010,The A-Team,177241171,77222099,100019072
269,2003,Kill Bill: Volume 1,176469428,70098138,106371290
270,2011,Cowboys and Aliens,176038324,100368560,75669764
271,2016,Operation Mekong,174279252,800012,173479240
272,2004,AVP: Alien Vs. Predator,172543519,80281096,92262423
273,2016,The Divergent Series: Allegiant,172022517,66184051,105838466
274,2006,Blood Diamond,171377916,57377916,114000000
275,2008,Cloverfield,171302226,80048433,91253793
276,2017,John Wick: Chapter Two,171139626,92029184,79110442
277,2012,Looper,170466405,66486205,103980200
278,1994,The Specialist,170362581,57362581,113000000
279,2012,Shi Er Sheng Xiao,169994606,0,169994606
280,1997,The Saint,169400000,61363304,108036696
281,2017,Ghost in the Shell,167910690,40563557,127347133
282,2015,The Fantastic Four,167849187,56117548,111731639
283,2004,Alexander,167297191,34297191,133000000
284,2021,The Suicide Squad,167097737,55817425,111280312
285,2020,Jin gang chuan,167007608,0,167007608
286,2019,Gemini Man,166598362,48546770,118051592
287,2020,Wonder Woman 1984,166360232,46801036,119559196
288,2002,The Scorpion King,165890634,90580000,75310634
289,2010,Unstoppable,165720921,81562942,84157979
290,2016,The Huntsman: Winter’s War,165149302,48003015,117146287
291,2006,Miami Vice,164920076,63478838,101441238
292,2007,No Country for Old Men,164035753,74273505,89762248
293,2005,The Island,163018913,35818913,127200000
294,2022,Morbius,162759437,73865530,88893907
295,1990,Dick Tracy,162738726,103738726,59000000
296,2022,One Piece Film: Red,162487422,12768073,149719349
297,1973,Live and Let Die,161800000,35400000,126400000
298,1999,Payback,161626121,81526121,80100000
299,1997,Alien: Resurrection,160700000,47795018,112904982
300,2008,Hellboy II: The Golden Army,160388063,75986503,84401560
301,2012,Underworld: Awakening,160379930,62321039,98058891
302,1983,Never Say Never Again,160000000,55500000,104500000
303,2016,Jack Reacher: Never Go Back,159946489,58697076,101249413
304,2021,Ci Sha Xiao Shuo Jia,159944397,0,159944397
305,2022,K.G.F: Chapter 2,159887058,6604562,153282496
306,2001,Black Hawk Down,159691085,108638745,51052340
307,2018,The Predator,159487563,51024708,108462855
308,1995,Crimson Tide,159387195,91387195,68000000
309,2021,The Matrix Resurrections,159197755,40463197,118734558
310,1993,Demolition Man,159055768,58055768,101000000
311,1996,Daylight,158908290,32908290,126000000
312,2010,The Book of Eli,158750817,94835059,63915758
313,1992,Alien 3,158500000,54927174,103572826
314,2006,The Fast and the Furious: Tokyo Drift,157794205,62615510,95178695
315,1990,Days of Thunder,157670733,82670733,75000000
316,2015,Yip Man 3,157300954,2679437,154621517
317,1992,Under Siege,156563139,83563139,73000000
318,1989,Licence to Kill,156167015,34667015,121500000
319,2002,Blade 2,154338601,81676888,72661713
320,2004,Kill Bill: Volume 2,153535982,66207920,87328062
321,1990,Another 48 Hrs.,152747413,80047413,72700000
322,1985,A View to a Kill,152627960,50327960,102300000
323,2009,The Taking of Pelham 123,152364370,65452312,86912058
324,2013,47 Ronin,151716815,38362475,113354340
325,2022,RRR,150548288,14473124,136075164
326,1997,Speed 2: Cruise Control,150468000,48097081,102370919
327,1999,Mononoke-hime,150345863,2374107,147971756
328,2013,Lone Survivor,149804632,125095601,24709031
329,2012,Ghost Rider: Spirit of Vengeance,149217355,51774002,97443353
330,1996,Broken Arrow,148345997,70645997,77700000
331,2001,Swordfish,147080413,69772969,77307444
332,2017,The Foreigner,145374099,34393507,110980592
333,2001,The Mexican,145238250,66808615,78429635
334,2001,Spy Game,143049560,62362560,80687000
335,2017,Power Rangers,142531552,85364450,57167102
336,2013,RED 2,141507355,53262560,88244795
337,1995,Bad Boys,141247413,65647413,75600000
338,1965,Thunderball,141200000,63600000,77600000
339,1974,Towering Inferno,139700000,116000000,23700000
340,1988,Die Hard,139434346,81675242,57759104
341,2015,Lao pao er,139204612,1414696,137789916
342,1990,Bird on a Wire,138697012,70978012,67719000
343,1993,Last Action Hero,137298489,50016394,87282095
344,2017,American Made,135569212,51342000,84227212
345,2014,Myeong-ryang,133450917,2830989,130619928
346,2013,2 Guns,132493015,75612460,56880555
347,2023,Shazam! Fury of the Gods,132204280,57604280,74600000
348,2014,Jack Ryan: Shadow Recruit,131377412,50577412,80800000
349,2004,Blade: Trinity,131353165,52397389,78955776
350,1998,Blade,131237688,70141876,61095812
351,2016,Skiptrace,131202537,1792,131200745
352,2015,The Last Witch Hunter,130818912,27367660,103451252
353,2006,V for Vendetta,130214162,70511035,59703127
354,2008,The Forbidden Kingdom,129075270,52075270,77000000
355,2007,Aliens vs. Predator - Requiem,128884494,41797066,87087428
356,2012,Sap ji sang ciu,128230000,0,128230000
357,2000,U-571,127630030,77086030,50544000
358,2010,Predators,127234389,52000688,75233701
359,2019,Midway,126815030,56846802,69968228
360,2015,Point Break,126704591,28782481,97922110
361,2016,Mechanic: Resurrection,125729635,21218403,104511232
362,1982,First Blood,125212904,47212904,78000000
363,1982,Rocky III,125053490,125049125,4365
364,1964,Goldfinger,124900000,51100000,73800000
365,2018,Dragon Ball Super: Broly,122747755,30376755,92371000
366,2015,Tian jiang xiong shi,122519874,74070,122445804
367,1995,Mortal Kombat,122133227,70433227,51700000
368,2015,Bajrangi Bhaijaan,121778347,8178001,113600346
369,2021,The King’s Man,121125300,37176373,83948927
370,1997,Starship Troopers,121100000,54768952,66331048
371,2006,Apocalypto,121032272,50866635,70165637
372,2015,Tang ren jie tan an,120643551,459832,120183719
373,1987,Lethal Weapon,120192350,65192350,55000000
374,1997,Volcano,120100000,47546796,72553204
375,1990,Rocky V,119946358,40946358,79000000
376,2009,Surrogates,119668350,38577772,81090578
377,2009,Red Cliff,119627047,627047,119000000
378,2012,Hua Pi 2,118528842,33212,118495630
379,2018,The Commuter,118509836,36343858,82165978
380,1999,Blue Streak,117448157,68208190,49239967
381,1998,The Siege,116625798,40934175,75691623
382,2019,Geukhanjikeob,116127561,1565885,114561676
383,1971,Diamonds Are Forever,115999985,43800000,72199985
384,2019,Fan Tan Feng Bao 4,115687407,0,115687407
385,1986,"The Karate Kid, Part II",115103979,115103979,0
386,2018,Xi You Ji Nu Er Guo,115089944,187074,114902870
387,1995,Judge Dredd,113487912,34687912,78800000
388,2006,Underworld: Evolution,113417762,62318875,51098887
389,2008,Rambo,113244290,42754105,70490185
390,2019,The Gentlemen,113152222,36471796,76680426
391,2008,Transporter 3,112930957,31715062,81215895
392,1967,You Only Live Twice,111600000,43100000,68500000
393,2016,The 5th Wave,111336398,34912982,76423416
394,2022,Everything Everywhere All At Once,111308065,77169474,34138591
395,2017,Buddies in India,110203801,292662,109911139
396,2011,Sanctum,108957098,23209310,85747788
397,2015,The Man From U.N.C.L.E.,108517735,45445109,63072626
398,2014,Pompeii,108469033,23169033,85300000
399,2017,Along With The Gods: The Two Worlds,107476731,1908822,105567909
400,2000,Shaft,107190108,70327868,36862240
401,2014,The Breakup Guru,106798959,208959,106590000
402,2022,Beomjoidosi 2 (범죄도시2),106034955,613026,105421929
403,2022,Shen Tan Da Zhan (神探大战),105500000,0,105500000
404,2015,Chappie,105002056,31569268,73432788
405,2016,Cold War 2,104529486,560824,103968662
406,2002,The Tuxedo,104429625,50586000,53843625
407,1995,Under Siege 2: Dark Territory,104324083,50024083,54300000
408,2013,Gangster Squad,104100903,46000903,58100000
409,2021,Wrath of Man,103913405,27466489,76446916
410,2017,Wukong,103651195,0,103651195
411,2021,Meitantei Konan Hiiro no Dangan,102541050,0,102541050
412,1994,Timecop,102053581,44853581,57200000
413,2004,Kung Fu Hustle,102034104,17104669,84929435
414,2016,Railroad Tigers,101822673,218044,101604629
415,2022,Ming ri zhan ji,100730000,0,100730000
416,2004,Hellboy,99823958,59623958,40200000
417,1979,Mad Max,99750000,8750000,91000000
418,1994,Street Fighter,99423000,33423000,66000000
419,2007,Hitman,99135571,39687694,59447877
420,2021,Fan Tan Feng Bao (G風暴),98941096,0,98941096
421,2019,Shi Tu Xing Zhe 2 Die Ying Xing Dong,98444408,296751,98147657
422,2012,Contraband,98406855,66528000,31878855
423,1987,Predator,98267558,59735548,38532010
