Rank,Released,Movies,worldwide box office $,domestic box office $,international box office $
"1,069",2016,Tamjung Hong Gil-dong: Sarajin Ma-eul,10020965,67054,9953911
"1,070",1988,Iron Eagle II,10000000,10000000,0
"1,071",1972,Shaft’s Big Score,10000000,10000000,0
"1,072",1986,Murphy's Law,9947631,9947631,0
"1,073",2022,Haejeok doggaebi gitbal (해적: 도깨비 깃발),9888157,0,9888157
"1,074",2011,Badrinath,9818936,0,9818936
"1,075",2017,Peace Breaker,9796094,0,9796094
"1,076",2017,The War of Loong,9782949,0,9782949
"1,077",2006,Running Scared,9729088,6855137,2873951
"1,078",1984,Cloak & Dagger,9719952,9719952,0
"1,079",2023,Dyun Mong (断网),9605591,0,9605591
"1,080",2017,God of War,9560020,53496,9506524
"1,081",2020,Okei! Madam,9529935,0,9529935
"1,082",2011,Salvando al Soldado Perez,9330465,1400726,7929739
"1,083",2012,Serbuan maut,9297407,4105123,5192284
"1,084",1991,Stone Cold,9286314,9286314,0
"1,085",2022,Kesisme: Iyi Ki Varsin Eren,9279013,0,9279013
"1,086",2017,Zashchitniki,9043794,0,9043794
"1,087",1989,Renegades,9015164,9015164,0
"1,088",2016,Super Express,8980243,0,8980243
"1,089",1983,Deathstalker,8890685,8890685,0
"1,090",2016,Bastille Day,8831974,50269,8781705
"1,091",2017,Aknyeo,8830002,27741,8802261
"1,092",1985,Gotcha,8823269,8823269,0
"1,093",1973,Battle for the Planet of the Apes,8800000,8800000,0
"1,094",2016,Chô kôsoku! Sankin kôtai ritânzu,8763957,0,8763957
"1,095",2019,Chui Shao Ren,8719427,150481,8568946
"1,096",2023,Guy Ritchie’s The Covenant,8678963,8678963,0
"1,097",1980,The Big Brawl,8527743,8527743,0
"1,098",2021,Way Down,8452720,0,8452720
"1,099",2019,War,8436133,3640355,4795778
"1,100",2001,John Carpenter’s Ghosts of Mars,8434601,8434601,0
"1,101",1979,Meteor,8400000,8400000,0
"1,102",1997,Turbo: A Power Rangers Movie,8363899,8363899,0
"1,103",2007,"Gekijô-ban Kamen Raidâ Den-Ô: Ore, tanjô!",8353721,0,8353721
"1,104",2016,Siganitalga (시간이탈자),8339975,58689,8281286
"1,105",1999,Twin Dragons,8332431,8332431,0
"1,106",2015,Batalon,8292235,0,8292235
"1,107",2012,Tong que tai,8264881,0,8264881
"1,108",2018,A.X.L.,8259753,6501381,1758372
"1,109",2021,The Protégé,8256029,7446823,809206
"1,110",2019,Code Geass: Fukkatsu No Lelouch,8189684,0,8189684
"1,111",2009,BLUE,8125973,321640,7804333
"1,112",1998,Firestorm,8123860,8123860,0
"1,113",2010,Veer,8049862,527193,7522669
"1,114",2018,Black Water,8023159,0,8023159
"1,115",2012,The Sweeney,8000366,26345,7974021
"1,116",1948,The Three Musketeers,8000000,8000000,0
"1,117",1968,The Devil's Brigade,8000000,8000000,0
"1,118",1985,Runaway Train,7936012,7936012,0
"1,119",2015,The Final Master,7900000,0,7900000
"1,120",2010,Centurion,7885048,123570,7761478
"1,121",2019,Eiga: Tôken ranbu,7858150,0,7858150
"1,122",2015,Seinto Seiya: Legend of Sanctuary,7851441,0,7851441
"1,123",2018,7 Guardians of the Tomb,7835554,0,7835554
"1,124",2013,Reonningmaen,7818396,0,7818396
"1,125",2016,Pitbull. Nowe porzadki,7802960,0,7802960
"1,126",1991,If Looks Could Kill,7781025,7781025,0
"1,127",2020,Yakusoku no Neverland,7761083,0,7761083
"1,128",2018,Beirut,7760380,5019226,2741154
"1,129",2007,DOA: Dead or Alive,7755686,480314,7275372
"1,130",2017,Yin Bao Zhe,7736408,118384,7618024
"1,131",2007,The Hunting Party,7729552,876671,6852881
"1,132",1990,Blue Steel,7701707,7701707,0
"1,133",1994,Surviving the Game,7690013,7690013,0
"1,134",1984,Ninja III: The Domination,7610785,7610785,0
"1,135",2009,Ong-Bak 2,7583050,102458,7480592
"1,136",2019,Kamen raidâ Reiwa Za Fâsuto Jenerêshon,7529337,0,7529337
"1,137",2008,Tashan,7512447,457380,7055067
"1,138",1981,An Eye for an Eye,7496681,7496681,0
"1,139",2022,Ponniyin Selvan: Part One,7408944,4918000,2490944
"1,140",2007,The Condemned,7371706,7371706,0
"1,141",2018,Simmba,7362331,5102129,2260202
"1,142",2016,Mafiya: Igra na vyzhivanie,7313343,0,7313343
"1,143",1988,Off Limits,7242035,7242035,0
"1,144",2017,Birth of the Dragon,7220490,6901965,318525
"1,145",2017,Mugen no jûnin,7164577,150532,7014045
"1,146",2016,Cuerpo de élite,7145405,0,7145405
"1,147",2021,Kogda padali aisty (Чернобыль),7129817,0,7129817
"1,148",2015,Gekijouban Kamen raidâ Doraibu: Sapuraizu fyûch…,7118376,0,7118376
"1,149",1969,Where Eagles Dare,7100436,7100000,436
"1,150",1978,Force 10 from Navarone,7100000,7100000,0
"1,151",2007,Rescue Dawn,7037886,5490423,1547463
"1,152",2022,Desibel (데시벨),7037457,60653,6976804
"1,153",2008,Arn - Riket vid vägens slut,6998907,0,6998907
"1,154",1985,Stick,6964734,6964734,0
"1,155",1986,Blue City,6947000,6947000,0
"1,156",1989,Dead Bang,6935216,6935216,0
"1,157",1985,Red Sonja,6908640,6905861,2779
"1,158",2007,Redline,6881021,6881021,0
"1,159",1987,Death Wish 4: The Crackdown,6880310,6880310,0
"1,160",2016,Blood Father,6820000,0,6820000
"1,161",2007,Apocalypse Code,6811168,0,6811168
"1,162",2018,Jai Simha,6763950,0,6763950
"1,163",2015,Huai Dan Bi Xu Si,6733311,0,6733311
"1,164",1985,Into the Night,6720160,6720160,0
"1,165",2020,Psy 3: W imie zasad,6717718,0,6717718
"1,166",2021,Yoocheitalja,6648164,0,6648164
"1,167",2016,Bing He Zhui Xiong,6640736,0,6640736
"1,168",1986,Black Moon Rising,6637565,6637565,0
"1,169",1990,Flashback,6476134,6476134,0
"1,170",2018,Race 3,6464357,1690861,4773496
"1,171",2011,Attack the Block,6459183,1024175,5435008
"1,172",1987,Wanted: Dead or Alive,6454953,6454953,0
"1,173",1997,Warriors of Virtue,6448817,6448817,0
"1,174",1995,The Hunted,6420615,6420615,0
"1,175",2021,CopShop,6409313,5213243,1196070
"1,176",2015,Michiel de Ruyter,6398807,0,6398807
"1,177",2016,Kamen raidâ Heisei jenerêshonzu: Dr. Pakkuman t…,6394531,0,6394531
"1,178",2017,Shinjuku Suwan II,6355297,0,6355297
"1,179",1997,Most Wanted,6343015,6343015,0
"1,180",2016,Kizumonogatari: I Tekketsu-hen,6324508,0,6324508
"1,181",2005,A Sound of Thunder,6300451,1900451,4400000
"1,182",2019,Kobiety mafii 2,6276042,0,6276042
"1,183",2018,Illang: The Wolf Brigade,6272692,0,6272692
"1,184",2021,Master Ji Gong,6240000,0,6240000
"1,185",2018,Wo Di Ju Xing,6168544,0,6168544
"1,186",1990,Delta Force 2,6154944,6154944,0
"1,187",1982,The Soldier,6123549,6123549,0
"1,188",2017,Gang Tie Fei Long Zhi Zai Jian Ao Te Man,6120728,0,6120728
"1,189",1997,Kull The Conqueror,6086891,6086891,0
"1,190",2019,High & Low The Worst,6081142,0,6081142
"1,191",1987,Assassination,6075793,6075793,0
"1,192",2001,Megiddo: Omega Code 2,6047691,6047691,0
"1,193",1993,Best of the Best 2,6044652,6044652,0
"1,194",1988,The Unholy,6000000,6000000,0
"1,195",1981,Dragonslayer,6000000,6000000,0
"1,196",1988,Braddock: Missing in Action III,6000000,6000000,0
"1,197",1951,Captain Horatio Hornblower R.N.,6000000,6000000,0
"1,198",1977,Thunder & Lightning,6000000,6000000,0
"1,199",2016,Lo Chiamavano Jeeg Robot,5969047,0,5969047
"1,200",2012,Legendary Amazons,5959716,0,5959716
"1,201",2017,Deok Gaai,5919976,0,5919976
"1,202",1988,The Rescue,5855392,5855392,0
"1,203",2019,Mardaani 2,5854240,0,5854240
"1,204",2017,24 Hours to Live,5840146,0,5840146
"1,205",2019,Dragon Force-Rise of Ultraman,5755641,0,5755641
"1,206",1996,Screamers,5701359,5701359,0
"1,207",2017,Kaabil,5697910,0,5697910
"1,208",2009,Blood: The Last Vampire,5683954,256682,5427272
"1,209",1982,Megaforce,5675599,5675599,0
"1,210",2015,Heneral Luna,5665641,206040,5459601
"1,211",2016,Ledokol,5653689,0,5653689
"1,212",1990,Hardware,5649801,5649801,0
"1,213",1993,Batman: Mask of the Phantasm,5635204,5635204,0
"1,214",1985,Avenging Angel,5622787,5622787,0
"1,215",1984,Streets of Fire,5600000,5600000,0
"1,216",1983,The Star Chamber,5600000,5600000,0
"1,217",1982,Vice Squad,5568880,5568880,0
"1,218",2007,Invisible Target,5520795,0,5520795
"1,219",2007,Aqua Teen Hunger Force Colon Movie Film for The…,5520368,5520368,0
"1,220",2007,Cash,5512027,0,5512027
"1,221",2021,The Ice Road,5511265,0,5511265
"1,222",2008,Boku no kanojo wa saibôgu,5506234,0,5506234
"1,223",2016,Collide,5466698,2280004,3186694
"1,224",2021,Jigoku no Hanazono,5464613,0,5464613
"1,225",1992,Split Second,5430822,5430822,0
"1,226",2017,Raees,5429008,2369469,3059539
"1,227",2009,Black,5424328,0,5424328
"1,228",1987,The Sicilian,5406879,5406879,0
"1,229",2016,One Night Only,5350967,0,5350967
"1,230",2002,Equilibrium,5345869,1190018,4155851
"1,231",2016,Chongtian Huo,5345355,78377,5266978
"1,232",2012,Wu Dang,5340000,0,5340000
"1,233",2015,Spooks: The Greater Good,5328721,0,5328721
"1,234",2011,Ironclad,5297411,0,5297411
"1,235",2007,Ladron que roba a ladron,5273266,4011254,1262012
"1,236",2019,Bharat,5254378,2684911,2569467
"1,237",2007,Sivaji,5246967,0,5246967
"1,238",2014,Il ragazzo invisibile,5216102,0,5216102
"1,239",2021,Mayor Grom: Chumnoy Doktor,5209010,0,5209010
"1,240",2002,Formula 51,5204007,5204007,0
"1,241",2019,Underdog,5165131,0,5165131
"1,242",2023,Yuryeong (유령),5157020,0,5157020
"1,243",2017,Gekijô-ban Kamen Raidâ Eguzeido: Tourû Endingu,5107923,0,5107923
"1,244",1983,Vigilante,5091888,5091888,0
"1,245",1970,Two Mules for Sister Sara,5050000,5050000,0
"1,246",2017,Hei Bai Mi Gong,5029820,0,5029820
"1,247",2022,The Legend of Maula Jatt,5019297,525000,4494297
"1,248",2017,Munna Michael,5002289,64949,4937340
"1,249",1988,Hero and the Terror,5000000,5000000,0
"1,250",1995,Top Dog,4992085,4992085,0
"1,251",2008,Jiang shan mei ren,4991819,0,4991819
"1,252",2019,Balkanskiy rubezh,4941357,0,4941357
"1,253",1996,Solo,4932915,4932915,0
"1,254",2018,Gekijô-ban Kamen Raidâ Birudo: Bî Za Wan,4888000,0,4888000
"1,255",2019,Uri: The Surgical Strike,4876800,4185663,691137
"1,256",1986,Band of the Hand,4865912,4865912,0
"1,257",2011,Force,4763946,0,4763946
"1,258",2016,The Warriors,4754904,0,4754904
"1,259",2015,Northmen — A Viking Saga,4732232,0,4732232
"1,260",2016,Kamen Rider 1 Go,4717643,0,4717643
"1,261",1991,Eve of Destruction,4704884,4704884,0
"1,262",1986,Avenging Force,4679650,4679650,0
"1,263",1991,The Hitman,4654288,4654288,0
"1,264",2016,Buddy Cops,4622802,0,4622802
"1,265",1986,Eliminators,4601256,4601256,0
"1,266",2013,Conspirators,4574135,0,4574135
"1,267",2016,Max Steel,4563080,3818664,744416
"1,268",2017,Gekijouban Mazinger Z,4502612,0,4502612
"1,269",2013,Dong-chang-saeng,4467956,0,4467956
"1,270",2017,Fist & Faith,4433919,0,4433919
"1,271",2016,Sanyang,4422347,0,4422347
"1,272",1991,Run,4409328,4409328,0
"1,273",2017,Hello,4394131,0,4394131
"1,274",1982,Forced Vengeance,4388500,4388500,0
"1,275",1990,Dark Angel,4372561,4372561,0
"1,276",2016,Kabali,4369616,3903095,466521
"1,277",2012,Vettai,4366276,202581,4163695
"1,278",2016,Batman: The Killing Joke,4361038,3775000,586038
"1,279",2022,Lang qun (狼群),4343617,23617,4320000
"1,280",2020,Chi Yan,4340000,0,4340000
"1,281",2009,Manatsu no Orion,4323830,0,4323830
"1,282",2008,Flash Point,4318042,3271,4314771
"1,283",2015,Wild Card,4315789,3200,4312589
"1,284",1981,Thief,4301338,4300000,1338
"1,285",2022,Medieval,4298117,1374325,2923792
"1,286",2021,Girls und Panzer das Finale: Part III,4262049,0,4262049
"1,287",2018,Kona fer í stríð,4230717,847495,3383222
"1,288",1989,Red Scorpion,4192000,4192000,0
"1,289",2008,Gekijô ban poketto monsutâ: Daiyamondo & Pâru -…,4168058,0,4168058
"1,290",2021,Kamen Raidâ Seibâ + Kikai Sentai Zenkaijâ: Supâ…,4153985,0,4153985
"1,291",2010,Qi Xiao Luo Han,4120000,0,4120000
"1,292",1995,Tank Girl,4064333,4064333,0
"1,293",2018,Sketch,4020070,0,4020070
"1,294",2020,Marighella,4003501,3502,3999999
"1,295",1931,Ingagi,4000000,4000000,0
"1,296",1987,American Ninja 2: The Confrontation,4000000,4000000,0
"1,297",2016,Die wilden Kerle 6 - Die Legende lebt,3963295,0,3963295
"1,298",2017,Sleight,3934450,3930990,3460
"1,299",2020,The Enforcer of Justice,3890000,0,3890000
"1,300",2007,Tian tang kou,3887998,0,3887998
"1,301",1984,Flashpoint,3854833,3854833,0
"1,302",2018,Nanatsu no Taizai Movie,3840168,0,3840168
"1,303",2021,Seobok,3825490,0,3825490
"1,304",2017,Free Fire,3793739,1799322,1994417
"1,305",1987,Death Before Dishonor,3776540,3776540,0
"1,306",1996,Barb Wire,3775952,3775952,0
"1,307",1987,The Monster Squad,3769990,3769990,0
"1,308",2020,Malang,3769620,0,3769620
"1,309",2007,Nitro,3768878,3768878,0
"1,310",1984,Exterminator 2,3739406,3739406,0
"1,311",2016,Birkebeinerne,3731296,8905,3722391
"1,312",2020,Ava,3722080,497747,3224333
"1,313",2019,Saaho,3717911,2626284,1091627
"1,314",2006,BloodRayne,3711633,2405420,1306213
"1,315",2012,Cockpit,3692388,0,3692388
"1,316",2007,Tsubaki Sanjûrô,3675205,0,3675205
"1,317",2020,Fate/Grand Order Shinsei Entaku Ryoiki Camelot:…,3658090,0,3658090
"1,318",2008,The Storm Rider,3651400,0,3651400
"1,319",2021,Misyeon paseobeul,3628031,0,3628031
"1,320",2015,Big Game,3620329,24752,3595577
"1,321",2019,Bacurau,3594115,58115,3536000
"1,322",1988,Dead Heat,3588626,3588626,0
"1,323",2008,Gekijoban Kamen Raida Den'o and Kiba Kuraimakku…,3558763,0,3558763
"1,324",1982,The Challenge,3534852,3534852,0
"1,325",2022,Teuksong (특송),3504022,0,3504022
"1,326",1986,The Wraith,3500000,3500000,0
"1,327",2021,Kasouken no Onna Gekijoban (科捜研の女 -劇場版-)…,3450057,0,3450057
"1,328",2013,Tom yum goong 2,3407036,2463,3404573
"1,329",1986,Born American,3401376,3401376,0
"1,330",2016,Shuriken Sentai Ninninja tai Ressha Sentai Tokk…,3355599,0,3355599
"1,331",2013,Oldboy,3343567,2193658,1149909
"1,332",2016,Alibaba Solomons Seal,3330000,0,3330000
"1,333",2016,Girls und Panzer The FILM,3324526,0,3324526
"1,334",2011,13,3317662,0,3317662
"1,335",2016,Warrior’s Gate,3303741,0,3303741
"1,336",2019,Su Ren te Gong,3283238,0,3283238
"1,337",1996,Original Gangstas,3279266,3279266,0
"1,338",2021,Fate Grand Order: The Grand Temple of Time,3268960,0,3268960
"1,339",2005,Supercross,3252550,3102550,150000
"1,340",2018,Monster Strike The Movie: Sora no Kanata,3249907,0,3249907
"1,341",1985,Gymkata,3249442,3249442,0
"1,342",2015,Gekijouban Yowamushi pedaru,3230701,0,3230701
"1,343",2008,Dachimawa Lee,3229037,0,3229037
"1,344",2022,Dilberay Küçük Dev Kadin,3227933,0,3227933
"1,345",2021,Zhen San Guo Wu Shuang,3191623,0,3191623
"1,346",2017,"Gentleman: Sundar, Susheel, Risky",3178269,410055,2768214
"1,347",2018,Over Drive,3161652,0,3161652
"1,348",2019,Panipat,3119830,461863,2657967
"1,349",2022,Limembeo (리멤버),3118646,0,3118646
"1,350",1968,Coogan's Bluff,3110000,3110000,0
"1,351",2017,Rasuto koppu: The Movie,3096923,0,3096923
"1,352",1989,Kinjite,3088086,3088086,0
"1,353",2019,Spasti Leningrad,3068838,0,3068838
"1,354",2015,Anacleto: Agente secreto,3020332,0,3020332
"1,355",1982,Fighting Back,3016496,3016496,0
"1,356",2012,Thaandavam,3006802,213476,2793326
"1,357",1987,Malone,3000000,3000000,0
"1,358",1973,Westworld,3000000,3000000,0
"1,359",1986,Bullies,2995527,2995527,0
"1,360",2015,The Squad,2975825,0,2975825
"1,361",2017,Lieol,2970964,0,2970964
"1,362",2015,Kamen Raidâ × Kamen Raidâ Gôsuto ando Doraibu C…,2952681,0,2952681
"1,363",2022,Ddeugeoun Pi (뜨거운 피),2924979,0,2924979
"1,364",1984,The Warrior and the Sorceress,2886225,2886225,0
"1,365",2019,Ba Zi,2883905,0,2883905
"1,366",2015,Tracers,2880901,2000,2878901
"1,367",2014,Kick,2879840,2472695,407145
"1,368",2016,Swap,2870001,0,2870001
"1,369",1987,Heat,2833142,2793214,39928
"1,370",2019,Geroy (2019),2829544,0,2829544
"1,371",2012,Chakravyuh,2827265,0,2827265
"1,372",2017,Gekijouban Mahouka Koukou no Rettousei: Hoshi o…,2825976,0,2825976
"1,373",2016,Tschiller: Off Duty,2821972,0,2821972
"1,374",1983,Yor: Hunter From the Future,2810199,2810199,0
"1,375",1992,Year of the Comet,2791515,2791515,0
"1,376",2017,Masterpiece,2787298,0,2787298
"1,377",2023,Sisu,2773739,585000,2188739
"1,378",2020,The Comeback Trail,2736770,0,2736770
"1,379",2019,Girls und Panzer das Finale: Part II,2721506,0,2721506
"1,380",2019,Avanpost,2710285,0,2710285
"1,381",2022,Çakallarla Dans 6,2683386,0,2683386
"1,382",2007,Fool N Final,2673450,0,2673450
"1,383",2008,Redbelt,2667084,2344847,322237
"1,384",2013,Commando,2667034,0,2667034
"1,385",2021,gang-reung (강릉),2664647,0,2664647
"1,386",2014,Serbuan maut 2: Berandal,2625803,2625803,0
"1,387",2017,Inhumans,2621654,1521787,1099867
"1,388",2020,Gekijôban Kamen Raidâ Zerowan,2611150,0,2611150
"1,389",2007,Middonaito Îguru,2607116,7116,2600000
"1,390",2019,Jiu Long Bu Bai,2605455,0,2605455
"1,391",2018,Gong Fu Lian Meng,2577213,0,2577213
"1,392",2015,Gatao,2546192,0,2546192
"1,393",2020,Sıfır Bir,2537294,0,2537294
"1,394",2015,Son Mektup,2530705,0,2530705
"1,395",1992,Aces: Iron Eagle III,2517600,2517600,0
"1,396",2016,KanColle: The Movie,2516283,0,2516283
"1,397",1989,Gleaming the Cube,2454590,2454590,0
"1,398",1985,Gojira,2443200,2443200,0
"1,399",2017,Strangers,2430165,0,2430165
"1,400",2006,Renaissance,2401413,70644,2330769
"1,401",1996,Lawnmower Man 2: Beyond Cyberspace,2396302,2396302,0
"1,402",1990,King of New York,2389850,2389850,0
"1,403",2017,Sha Jiu Shen,2350000,0,2350000
"1,404",1990,Blind Fury,2345628,2345628,0
"1,405",2015,Memories of the Sword,2345062,111071,2233991
"1,406",1994,Double Dragon,2341309,2341309,0
"1,407",2015,American Heist,2341218,0,2341218
"1,408",2012,Paan Singh Tomar,2315251,40311,2274940
"1,409",2017,The Village of No Return,2307393,0,2307393
"1,410",2006,Kokoda,2301966,0,2301966
"1,411",2019,Mie Dai Zong Shi,2300000,0,2300000
"1,412",2015,Vedalam,2277999,0,2277999
"1,413",1991,Showdown in Little Tokyo,2275557,2275557,0
"1,414",1986,"No Retreat, No Surrender",2273045,2273045,0
"1,415",2022,Krylya nad Berlinom (1941. Крылья над Берлином)…,2259123,0,2259123
"1,416",2020,Kishiryû Sentai Ryuusoujâ Bui Esu Rupanrenjâ Bu…,2242513,0,2242513
"1,417",2018,"Panku-zamurai, kirarete sôrô",2232159,0,2232159
"1,418",1987,The Squeeze,2228951,2228951,0
"1,419",2006,Don,2223961,2223961,0
"1,420",2007,Hing dai,2213095,0,2213095
"1,421",2017,Mersal,2168812,0,2168812
"1,422",2019,Danger Close: The Battle of Long Tan,2149526,0,2149526
"1,423",2020,Bad Boy,2149168,0,2149168
"1,424",2021,Nebo,2134558,0,2134558
"1,425",2007,Tie saam gok,2129774,0,2129774
"1,426",2018,Mukkabaaz,2116692,0,2116692
"1,427",1983,Who Dares Wins,2108197,2108197,0
"1,428",2002,State Property,2099719,2099719,0
"1,429",2020,The Outpost,2099653,186634,1913019
"1,430",2015,The Last: Naruto the Movie,2085455,483795,1601660
"1,431",2013,Man of Tai Chi,2054941,0,2054941
"1,432",2014,Z Storm,2053330,0,2053330
"1,433",1993,El Mariachi,2041928,2040920,1008
"1,434",1991,Akira,2021239,19585,2001654
"1,435",2012,The Pelayos,2015219,0,2015219
"1,436",2020,Echo Boomers,2003433,0,2003433
"1,437",2015,Last Knights,1975720,0,1975720
"1,438",2018,Magical Girl Lyrical Nanoha: Detonation,1956419,0,1956419
"1,439",2012,Arme Riddere,1953002,806,1952196
"1,440",2015,Singh Is Bliing,1939033,919095,1019938
"1,441",2020,Sooryavanshi,1915877,0,1915877
"1,442",2017,Kurtlar Vadisi: Vatan,1893015,0,1893015
"1,443",2021,Dayı: Bir Adamın Hikâyesi,1892620,0,1892620
"1,444",1997,Masterminds,1890472,1890472,0
"1,445",2010,Chuzhaya,1849944,0,1849944
"1,446",2017,Sojunghan Yeoin,1811452,0,1811452
"1,447",2011,Mo-bi-dik,1775209,0,1775209
"1,448",2012,Department,1765771,0,1765771
"1,449",2007,Teng Nong Khon Maha-Hia,1759123,0,1759123
"1,450",2022,Vikram,1750755,0,1750755
"1,451",2021,Ultimate Code,1740000,0,1740000
"1,452",2015,Bølgen,1734304,177404,1556900
"1,453",2016,I.T.,1718502,0,1718502
"1,454",2016,Mine,1714156,0,1714156
"1,455",1994,Death Wish V: The Face of Death,1711424,1711424,0
"1,456",2015,Mang Long Te Jiong,1708770,0,1708770
"1,457",2020,Vratar galaktiki,1704393,0,1704393
"1,458",1989,Best of the Best,1700000,1700000,0
"1,459",2022,Acharya,1693872,1412000,281872
"1,460",2005,State Property 2,1691706,1691706,0
"1,461",1997,Steel,1686429,1686429,0
"1,462",2013,Combustion,1683711,0,1683711
"1,463",2016,Mohenjo Daro,1680885,1264339,416546
"1,464",2014,Shingeki no kyojin: Guren no yumiya,1679927,0,1679927
"1,465",2015,Black (2015),1671070,0,1671070
"1,466",2017,Zhong Guo Tui Xiao Yuan,1637776,0,1637776
"1,467",2005,Secuestro Express,1629473,302256,1327217
"1,468",2011,The Reunion,1628770,0,1628770
"1,469",2014,Jai Ho,1574865,1187266,387599
"1,470",2021,Qí qíng kuài chē (奇情快车),1570000,0,1570000
"1,471",2023,Haita de actiune,1562418,0,1562418
"1,472",2017,Defenders,1549782,0,1549782
"1,473",2019,Prince of Legend,1549118,0,1549118
"1,474",2016,Laavor et hakir,1547643,1412404,135239
"1,475",2012,Universal Soldier: Day of Reckoning,1545188,5460,1539728
"1,476",2021,Seeti Maar,1544218,0,1544218
"1,477",2018,Rubezh,1537478,0,1537478
"1,478",2017,Renegades,1521672,0,1521672
"1,479",2017,Daddy,1502202,0,1502202
"1,480",2023,Varisu,1496536,0,1496536
"1,481",2015,Chuen lik kau saat,1492099,0,1492099
"1,482",2017,My Pet Dinosaur,1490107,0,1490107
"1,483",2014,Singham Returns,1469185,1226581,242604
"1,484",1986,Sky Bandits,1468500,1468500,0
"1,485",2022,Chōng chū dìqiú,1460000,0,1460000
"1,486",2020,Geom gaek,1455960,0,1455960
"1,487",2006,Kamen Rider Kabuto: God Speed Love,1441305,0,1441305
"1,488",1998,In God's Hands,1431239,1431239,0
"1,489",2018,Jie Ma You Xi,1422563,0,1422563
"1,490",1990,The Last of the Finest,1395694,1395694,0
"1,491",2020,Podolskiye kursanty,1388366,0,1388366
"1,492",1985,Certain Fury,1381091,1381091,0
"1,493",2017,Gekijôban Fairy Tail: Dragon Cry,1378312,519461,858851
"1,494",2018,Revenge,1373476,99197,1274279
"1,495",2016,Dishoom,1364949,812737,552212
"1,496",2018,Deliler,1364179,0,1364179
"1,497",1982,Sorceress,1358792,1358792,0
"1,498",2018,Patser,1357706,0,1357706
"1,499",2015,Game Therapy,1341185,0,1341185
"1,500",2012,Forces spéciales,1335641,10759,1324882
"1,501",2015,Kôkaku Kidôtai,1332311,101203,1231108
"1,502",2004,Warriors of Heaven and Earth,1318382,82382,1236000
"1,503",2020,The Tax Collector,1309971,1044212,265759
"1,504",1986,8 Million Ways to Die,1305114,1305114,0
"1,505",1983,Eddie Macon's Run,1300000,1300000,0
"1,506",2017,Dōbutsu Sentai Jūōjā Tai Ninninjā Mirai kara no…,1293955,0,1293955
"1,507",2007,Eklavya - The Royal Guard,1290212,1290212,0
"1,508",2017,Jungle,1287789,0,1287789
"1,509",2020,Baaghi 3,1285616,721439,564177
"1,510",2022,Diabolik 2,1270173,0,1270173
"1,511",2017,Babumoshai Bandookbaaz,1258122,0,1258122
"1,512",2009,Outlander,1250617,166003,1084614
"1,513",2015,Beyond the Mask,1236094,1236094,0
"1,514",1983,Turkey Shoot,1233657,1233657,0
"1,515",1927,Metropolis,1206834,1206834,0
"1,516",1991,Kickboxer 2: The Road Back,1206817,1206817,0
"1,517",2016,Trespass Against Us,1201442,5711,1195731
"1,518",2013,11.6,1193022,0,1193022
"1,519",2020,Türkler Geliyor: Adaletin Kilici,1184081,0,1184081
"1,520",2020,Sarileru Neekevvaru,1180306,821000,359306
"1,521",2018,Burn Out,1144435,0,1144435
"1,522",2008,Outlaw,1127359,0,1127359
"1,523",2016,Ma Xiaole and His Toys,1120000,0,1120000
"1,524",2019,Placa de Acero,1110372,0,1110372
"1,525",1999,Unconditional Love,1101999,115202,986797
"1,526",2022,Gekijouban Sword Art Online the Movie Progressi…,1095656,607000,488656
"1,527",2012,Road to Ninja: Naruto the Movie,1071136,0,1071136
"1,528",2017,Suo Li,1070000,0,1070000
"1,529",2020,Shadow in the Cloud,1060738,156932,903806
"1,530",2015,Kidô senshi Gandamu: The Origin II - Kanashimi …,1056670,0,1056670
"1,531",2022,Muru,1053706,0,1053706
"1,532",2021,Nordsjøen,1050225,493,1049732
"1,533",2001,Extreme Days,1047553,1047553,0
"1,534",2004,Ghost in the Shell 2: Innocence,1043896,1043896,0
"1,535",2022,Historias para no contar,1025290,0,1025290
"1,536",2016,Marauders,1024158,0,1024158
"1,537",2018,Skif,1020458,0,1020458
"1,538",2017,Beyond Skyline,1012368,0,1012368
"1,539",2017,Bijeonggyujik Teuksuyowon,1008678,0,1008678
"1,540",2003,Cowboy Bebop,1005928,999435,6493
"1,541",2022,Beast,993910,430000,563910
"1,542",2015,Robot Overlords,991329,0,991329
"1,543",2016,Em Nome da Lei,980418,0,980418
"1,544",2020,Thirteen Kill,980000,0,980000
"1,545",2017,Geukjangpan ttobot: robotgundanui seupgyeok,973187,0,973187
"1,546",2021,Omerta 6/12,958440,0,958440
"1,547",2020,Given,955989,0,955989
"1,548",2016,Mahana,947082,0,947082
"1,549",1988,Watchers,940173,940173,0
"1,550",1991,The Taking of Beverly Hills,939277,939277,0
"1,551",2018,211,937961,0,937961
"1,552",2014,Huang feihong zhi yingxiong you meng,935847,0,935847
"1,553",2015,Vice,935485,0,935485
"1,554",2017,Zona Hostil,931357,0,931357
"1,555",2021,Pobaby,920000,0,920000
"1,556",2016,Le convoi,913048,0,913048
"1,557",2019,L'intervention,909816,0,909816
"1,558",1989,American Ninja 3: Blood Hunt,902000,902000,0
"1,559",1986,The Naked Cage,897589,897589,0
"1,560",1983,Stryker,887080,887080,0
"1,561",1990,The Blood of Heroes,882290,882290,0
"1,562",2020,Ma Yong Zhen Zhi Zha Bei Jue,870000,0,870000
